artist,song_name,features
The Derek Trucks Band,This Sky,"{'danceability': 0.445, 'energy': 0.544, 'key': 9, 'loudness': -10.925, 'mode': 1, 'speechiness': 0.0314, 'acousticness': 0.698, 'instrumentalness': 0.477, 'liveness': 0.115, 'valence': 0.222, 'tempo': 101.172, 'type': 'audio_features', 'id': '7CF9D6br57ovVM7bo6B1jB', 'uri': 'spotify:track:7CF9D6br57ovVM7bo6B1jB', 'track_href': 'https://api.spotify.com/v1/tracks/7CF9D6br57ovVM7bo6B1jB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7CF9D6br57ovVM7bo6B1jB', 'duration_ms': 391987, 'time_signature': 4}"
D'Angelo,Water No Get Enemy,"{'danceability': 0.786, 'energy': 0.753, 'key': 10, 'loudness': -9.461, 'mode': 0, 'speechiness': 0.0803, 'acousticness': 0.312, 'instrumentalness': 0.0982, 'liveness': 0.124, 'valence': 0.767, 'tempo': 98.936, 'type': 'audio_features', 'id': '4HUQeJ3p6NI3zIioBDvFuD', 'uri': 'spotify:track:4HUQeJ3p6NI3zIioBDvFuD', 'track_href': 'https://api.spotify.com/v1/tracks/4HUQeJ3p6NI3zIioBDvFuD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4HUQeJ3p6NI3zIioBDvFuD', 'duration_ms': 365933, 'time_signature': 4}"
Clara Nunes,A Deusa Dos Orixás,"{'danceability': 0.68, 'energy': 0.549, 'key': 9, 'loudness': -12.331, 'mode': 1, 'speechiness': 0.0947, 'acousticness': 0.272, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.969, 'tempo': 83.497, 'type': 'audio_features', 'id': '5RKjI6OfKO2sjMpx67bkmm', 'uri': 'spotify:track:5RKjI6OfKO2sjMpx67bkmm', 'track_href': 'https://api.spotify.com/v1/tracks/5RKjI6OfKO2sjMpx67bkmm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5RKjI6OfKO2sjMpx67bkmm', 'duration_ms': 151227, 'time_signature': 4}"
Johnny Cash,Jackson (with June Carter Cash),"{'danceability': 0.736, 'energy': 0.548, 'key': 0, 'loudness': -6.261, 'mode': 1, 'speechiness': 0.0362, 'acousticness': 0.278, 'instrumentalness': 0.000597, 'liveness': 0.177, 'valence': 0.731, 'tempo': 128.439, 'type': 'audio_features', 'id': '73iwWviVbnrQRuzbsz023q', 'uri': 'spotify:track:73iwWviVbnrQRuzbsz023q', 'track_href': 'https://api.spotify.com/v1/tracks/73iwWviVbnrQRuzbsz023q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/73iwWviVbnrQRuzbsz023q', 'duration_ms': 164733, 'time_signature': 4}"
RJD2,Ghostwriter,"{'danceability': 0.747, 'energy': 0.68, 'key': 1, 'loudness': -6.187, 'mode': 1, 'speechiness': 0.0346, 'acousticness': 0.0107, 'instrumentalness': 0.803, 'liveness': 0.0964, 'valence': 0.594, 'tempo': 93.804, 'type': 'audio_features', 'id': '5Nn2Dj7OQsGL6pgQ9iIzPp', 'uri': 'spotify:track:5Nn2Dj7OQsGL6pgQ9iIzPp', 'track_href': 'https://api.spotify.com/v1/tracks/5Nn2Dj7OQsGL6pgQ9iIzPp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5Nn2Dj7OQsGL6pgQ9iIzPp', 'duration_ms': 317933, 'time_signature': 4}"
AlunaGeorge,Body Music,"{'danceability': 0.654, 'energy': 0.477, 'key': 4, 'loudness': -10.337, 'mode': 0, 'speechiness': 0.0706, 'acousticness': 0.424, 'instrumentalness': 0, 'liveness': 0.218, 'valence': 0.514, 'tempo': 95.054, 'type': 'audio_features', 'id': '2D2p0eif9odHKFnRMIQU0w', 'uri': 'spotify:track:2D2p0eif9odHKFnRMIQU0w', 'track_href': 'https://api.spotify.com/v1/tracks/2D2p0eif9odHKFnRMIQU0w', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2D2p0eif9odHKFnRMIQU0w', 'duration_ms': 242277, 'time_signature': 4}"
Fink,Yesterday Was Hard On All Of Us - Radio Edit,"{'danceability': 0.412, 'energy': 0.576, 'key': 9, 'loudness': -9.403, 'mode': 0, 'speechiness': 0.0277, 'acousticness': 0.681, 'instrumentalness': 0.0315, 'liveness': 0.141, 'valence': 0.264, 'tempo': 97.289, 'type': 'audio_features', 'id': '0j1YhB6z2ucnz200ueyp2B', 'uri': 'spotify:track:0j1YhB6z2ucnz200ueyp2B', 'track_href': 'https://api.spotify.com/v1/tracks/0j1YhB6z2ucnz200ueyp2B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0j1YhB6z2ucnz200ueyp2B', 'duration_ms': 208627, 'time_signature': 4}"
Ryan Montbleau,Carry,"{'danceability': 0.669, 'energy': 0.153, 'key': 2, 'loudness': -13.926, 'mode': 1, 'speechiness': 0.0304, 'acousticness': 0.693, 'instrumentalness': 6.85e-05, 'liveness': 0.121, 'valence': 0.37, 'tempo': 106.184, 'type': 'audio_features', 'id': '0J22fYZReDIiD5dBLzOyzl', 'uri': 'spotify:track:0J22fYZReDIiD5dBLzOyzl', 'track_href': 'https://api.spotify.com/v1/tracks/0J22fYZReDIiD5dBLzOyzl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0J22fYZReDIiD5dBLzOyzl', 'duration_ms': 216000, 'time_signature': 4}"
The Whitest Boy Alive,Intentions,"{'danceability': 0.888, 'energy': 0.415, 'key': 0, 'loudness': -6.583, 'mode': 1, 'speechiness': 0.0405, 'acousticness': 0.114, 'instrumentalness': 0.13, 'liveness': 0.0905, 'valence': 0.671, 'tempo': 93.714, 'type': 'audio_features', 'id': '6NhuC3eym57grcOoZo4Jst', 'uri': 'spotify:track:6NhuC3eym57grcOoZo4Jst', 'track_href': 'https://api.spotify.com/v1/tracks/6NhuC3eym57grcOoZo4Jst', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NhuC3eym57grcOoZo4Jst', 'duration_ms': 219427, 'time_signature': 4}"
Major Lazer,Can't Stop Now,"{'danceability': 0.717, 'energy': 0.604, 'key': 3, 'loudness': -6.194, 'mode': 1, 'speechiness': 0.141, 'acousticness': 0.0772, 'instrumentalness': 0.000243, 'liveness': 0.338, 'valence': 0.585, 'tempo': 81.549, 'type': 'audio_features', 'id': '4V7vcixwGO7cwAdxJCYVYs', 'uri': 'spotify:track:4V7vcixwGO7cwAdxJCYVYs', 'track_href': 'https://api.spotify.com/v1/tracks/4V7vcixwGO7cwAdxJCYVYs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4V7vcixwGO7cwAdxJCYVYs', 'duration_ms': 243253, 'time_signature': 4}"
Emilíana Torrini,Autumn Sun,"{'danceability': 0.56, 'energy': 0.113, 'key': 6, 'loudness': -14.755, 'mode': 0, 'speechiness': 0.0412, 'acousticness': 0.959, 'instrumentalness': 0.0143, 'liveness': 0.113, 'valence': 0.141, 'tempo': 156.795, 'type': 'audio_features', 'id': '4u0XMQsb1WPZnC9mlM68A4', 'uri': 'spotify:track:4u0XMQsb1WPZnC9mlM68A4', 'track_href': 'https://api.spotify.com/v1/tracks/4u0XMQsb1WPZnC9mlM68A4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4u0XMQsb1WPZnC9mlM68A4', 'duration_ms': 251613, 'time_signature': 4}"
Smokey Robinson & The Miracles,Ooo Baby Baby,"{'danceability': 0.26, 'energy': 0.257, 'key': 7, 'loudness': -10.021, 'mode': 1, 'speechiness': 0.0313, 'acousticness': 0.73, 'instrumentalness': 2.43e-05, 'liveness': 0.0982, 'valence': 0.394, 'tempo': 178.825, 'type': 'audio_features', 'id': '2HcBa4FbX56sHRUvG8A0lr', 'uri': 'spotify:track:2HcBa4FbX56sHRUvG8A0lr', 'track_href': 'https://api.spotify.com/v1/tracks/2HcBa4FbX56sHRUvG8A0lr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2HcBa4FbX56sHRUvG8A0lr', 'duration_ms': 169800, 'time_signature': 3}"
Beans & Fatback,Come and Get It,"{'danceability': 0.712, 'energy': 0.793, 'key': 6, 'loudness': -3.488, 'mode': 1, 'speechiness': 0.0374, 'acousticness': 0.333, 'instrumentalness': 0.00305, 'liveness': 0.103, 'valence': 0.885, 'tempo': 109.631, 'type': 'audio_features', 'id': '7iuXdT8CcAik4crjwJ2NVf', 'uri': 'spotify:track:7iuXdT8CcAik4crjwJ2NVf', 'track_href': 'https://api.spotify.com/v1/tracks/7iuXdT8CcAik4crjwJ2NVf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iuXdT8CcAik4crjwJ2NVf', 'duration_ms': 174387, 'time_signature': 4}"
Devendra Banhart,Carmensita,"{'danceability': 0.609, 'energy': 0.668, 'key': 4, 'loudness': -10.502, 'mode': 0, 'speechiness': 0.0459, 'acousticness': 0.594, 'instrumentalness': 0.121, 'liveness': 0.113, 'valence': 0.789, 'tempo': 124.67, 'type': 'audio_features', 'id': '1CzcrUxj97grUPWZ8HC3Dz', 'uri': 'spotify:track:1CzcrUxj97grUPWZ8HC3Dz', 'track_href': 'https://api.spotify.com/v1/tracks/1CzcrUxj97grUPWZ8HC3Dz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1CzcrUxj97grUPWZ8HC3Dz', 'duration_ms': 289293, 'time_signature': 4}"
