artist,song_name,features
The War On Drugs,Red Eyes,"{'danceability': 0.464, 'energy': 0.815, 'key': 10, 'loudness': -6.371, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.00871, 'instrumentalness': 0.201, 'liveness': 0.162, 'valence': 0.467, 'tempo': 161.845, 'type': 'audio_features', 'id': '71jGGLe5VtEHjIk5dU2W3S', 'uri': 'spotify:track:71jGGLe5VtEHjIk5dU2W3S', 'track_href': 'https://api.spotify.com/v1/tracks/71jGGLe5VtEHjIk5dU2W3S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/71jGGLe5VtEHjIk5dU2W3S', 'duration_ms': 298920, 'time_signature': 4}"
G. Love & Special Sauce,Unified,"{'danceability': 0.584, 'energy': 0.914, 'key': 2, 'loudness': -7.279, 'mode': 1, 'speechiness': 0.0552, 'acousticness': 0.0341, 'instrumentalness': 0.000196, 'liveness': 0.159, 'valence': 0.477, 'tempo': 104.892, 'type': 'audio_features', 'id': '664T43rA0ZXvXHRxb3qrAi', 'uri': 'spotify:track:664T43rA0ZXvXHRxb3qrAi', 'track_href': 'https://api.spotify.com/v1/tracks/664T43rA0ZXvXHRxb3qrAi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/664T43rA0ZXvXHRxb3qrAi', 'duration_ms': 187040, 'time_signature': 4}"
Jim Morey,Nuthin But Love,"{'danceability': 0.661, 'energy': 0.39, 'key': 4, 'loudness': -16.237, 'mode': 1, 'speechiness': 0.0371, 'acousticness': 0.655, 'instrumentalness': 3.53e-06, 'liveness': 0.0804, 'valence': 0.845, 'tempo': 107.734, 'type': 'audio_features', 'id': '43B1vxAfIpBmMbFPyoMAax', 'uri': 'spotify:track:43B1vxAfIpBmMbFPyoMAax', 'track_href': 'https://api.spotify.com/v1/tracks/43B1vxAfIpBmMbFPyoMAax', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/43B1vxAfIpBmMbFPyoMAax', 'duration_ms': 194733, 'time_signature': 4}"
MNDR,C.L.U.B.,"{'danceability': 0.719, 'energy': 0.816, 'key': 7, 'loudness': -6.93, 'mode': 1, 'speechiness': 0.069, 'acousticness': 0.00706, 'instrumentalness': 0.0225, 'liveness': 0.142, 'valence': 0.602, 'tempo': 126.011, 'type': 'audio_features', 'id': '10dCb3llSSA47fc1NOLbCj', 'uri': 'spotify:track:10dCb3llSSA47fc1NOLbCj', 'track_href': 'https://api.spotify.com/v1/tracks/10dCb3llSSA47fc1NOLbCj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/10dCb3llSSA47fc1NOLbCj', 'duration_ms': 220051, 'time_signature': 4}"
Selah Sue,Crazy Sufferin Style,"{'danceability': 0.637, 'energy': 0.882, 'key': 7, 'loudness': -5.218, 'mode': 1, 'speechiness': 0.178, 'acousticness': 0.00199, 'instrumentalness': 1.71e-06, 'liveness': 0.152, 'valence': 0.446, 'tempo': 186.05, 'type': 'audio_features', 'id': '0h7mLhLljtrHOa3aSQpAYC', 'uri': 'spotify:track:0h7mLhLljtrHOa3aSQpAYC', 'track_href': 'https://api.spotify.com/v1/tracks/0h7mLhLljtrHOa3aSQpAYC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0h7mLhLljtrHOa3aSQpAYC', 'duration_ms': 248493, 'time_signature': 4}"
Robin Thicke,Feel Good,"{'danceability': 0.725, 'energy': 0.448, 'key': 0, 'loudness': -8.48, 'mode': 1, 'speechiness': 0.0413, 'acousticness': 0.0297, 'instrumentalness': 3.74e-05, 'liveness': 0.0605, 'valence': 0.441, 'tempo': 124.972, 'type': 'audio_features', 'id': '4bTGxa0SKnLyuTp8TftBvO', 'uri': 'spotify:track:4bTGxa0SKnLyuTp8TftBvO', 'track_href': 'https://api.spotify.com/v1/tracks/4bTGxa0SKnLyuTp8TftBvO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4bTGxa0SKnLyuTp8TftBvO', 'duration_ms': 208107, 'time_signature': 4}"
Crookers,Cooler Couleur (feat. Yelle),"{'danceability': 0.798, 'energy': 0.671, 'key': 2, 'loudness': -5.526, 'mode': 1, 'speechiness': 0.0655, 'acousticness': 0.129, 'instrumentalness': 0.00426, 'liveness': 0.164, 'valence': 0.446, 'tempo': 95.227, 'type': 'audio_features', 'id': '76615pe5Ee0ELIEFsNU8Jm', 'uri': 'spotify:track:76615pe5Ee0ELIEFsNU8Jm', 'track_href': 'https://api.spotify.com/v1/tracks/76615pe5Ee0ELIEFsNU8Jm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/76615pe5Ee0ELIEFsNU8Jm', 'duration_ms': 282080, 'time_signature': 4}"
Razika,Vondt i hjertet,"{'danceability': 0.641, 'energy': 0.788, 'key': 9, 'loudness': -6.768, 'mode': 1, 'speechiness': 0.0325, 'acousticness': 0.0651, 'instrumentalness': 8.94e-06, 'liveness': 0.129, 'valence': 0.486, 'tempo': 140.034, 'type': 'audio_features', 'id': '5TzKsfDcGvlFql8ttd501B', 'uri': 'spotify:track:5TzKsfDcGvlFql8ttd501B', 'track_href': 'https://api.spotify.com/v1/tracks/5TzKsfDcGvlFql8ttd501B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5TzKsfDcGvlFql8ttd501B', 'duration_ms': 215293, 'time_signature': 4}"
Mother's Finest,Piece of the Rock,"{'danceability': 0.709, 'energy': 0.849, 'key': 9, 'loudness': -7.527, 'mode': 1, 'speechiness': 0.0395, 'acousticness': 0.00585, 'instrumentalness': 5.79e-06, 'liveness': 0.186, 'valence': 0.518, 'tempo': 126.702, 'type': 'audio_features', 'id': '4Cg77xT2idYBAFNLTpmiHh', 'uri': 'spotify:track:4Cg77xT2idYBAFNLTpmiHh', 'track_href': 'https://api.spotify.com/v1/tracks/4Cg77xT2idYBAFNLTpmiHh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Cg77xT2idYBAFNLTpmiHh', 'duration_ms': 203667, 'time_signature': 4}"
Wiz Khalifa,Remember You (feat. The Weeknd),"{'danceability': 0.726, 'energy': 0.775, 'key': 2, 'loudness': -4.174, 'mode': 1, 'speechiness': 0.269, 'acousticness': 0.217, 'instrumentalness': 0, 'liveness': 0.212, 'valence': 0.777, 'tempo': 127.943, 'type': 'audio_features', 'id': '19EgqewYa61aZwRtXfxbew', 'uri': 'spotify:track:19EgqewYa61aZwRtXfxbew', 'track_href': 'https://api.spotify.com/v1/tracks/19EgqewYa61aZwRtXfxbew', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19EgqewYa61aZwRtXfxbew', 'duration_ms': 289600, 'time_signature': 4}"
Toots & The Maytals,So Bad,"{'danceability': 0.742, 'energy': 0.59, 'key': 3, 'loudness': -9.607, 'mode': 1, 'speechiness': 0.0572, 'acousticness': 0.232, 'instrumentalness': 0, 'liveness': 0.0443, 'valence': 0.963, 'tempo': 127.143, 'type': 'audio_features', 'id': '2kebOYlhMhdqdJxMGYoDnc', 'uri': 'spotify:track:2kebOYlhMhdqdJxMGYoDnc', 'track_href': 'https://api.spotify.com/v1/tracks/2kebOYlhMhdqdJxMGYoDnc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2kebOYlhMhdqdJxMGYoDnc', 'duration_ms': 177640, 'time_signature': 4}"
3 Balearos,Summer Breezin',"{'danceability': 0.583, 'energy': 0.752, 'key': 9, 'loudness': -11.465, 'mode': 1, 'speechiness': 0.0373, 'acousticness': 0.498, 'instrumentalness': 0.885, 'liveness': 0.425, 'valence': 0.96, 'tempo': 99.993, 'type': 'audio_features', 'id': '198Cgf0FPYQDVMJORT520U', 'uri': 'spotify:track:198Cgf0FPYQDVMJORT520U', 'track_href': 'https://api.spotify.com/v1/tracks/198Cgf0FPYQDVMJORT520U', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/198Cgf0FPYQDVMJORT520U', 'duration_ms': 279301, 'time_signature': 4}"
Just Jack,Starz In Their Eyes,"{'danceability': 0.64, 'energy': 0.809, 'key': 3, 'loudness': -6.438, 'mode': 1, 'speechiness': 0.0714, 'acousticness': 0.00189, 'instrumentalness': 0.000314, 'liveness': 0.495, 'valence': 0.65, 'tempo': 123.885, 'type': 'audio_features', 'id': '5NIyDZfdnMGRXnwbX2kwA4', 'uri': 'spotify:track:5NIyDZfdnMGRXnwbX2kwA4', 'track_href': 'https://api.spotify.com/v1/tracks/5NIyDZfdnMGRXnwbX2kwA4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5NIyDZfdnMGRXnwbX2kwA4', 'duration_ms': 295587, 'time_signature': 4}"
Cody Chesnutt,What Kind of Cool (Will We Think of Next),"{'danceability': 0.684, 'energy': 0.608, 'key': 6, 'loudness': -6.719, 'mode': 1, 'speechiness': 0.115, 'acousticness': 0.121, 'instrumentalness': 0.0549, 'liveness': 0.0804, 'valence': 0.743, 'tempo': 97.074, 'type': 'audio_features', 'id': '5k7p4cVAV56zQzK86bxXg4', 'uri': 'spotify:track:5k7p4cVAV56zQzK86bxXg4', 'track_href': 'https://api.spotify.com/v1/tracks/5k7p4cVAV56zQzK86bxXg4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5k7p4cVAV56zQzK86bxXg4', 'duration_ms': 308933, 'time_signature': 4}"
Vanessa Da Mata,Não Me Deixe Só,"{'danceability': 0.731, 'energy': 0.469, 'key': 2, 'loudness': -10.724, 'mode': 1, 'speechiness': 0.0379, 'acousticness': 0.333, 'instrumentalness': 0.0115, 'liveness': 0.0976, 'valence': 0.641, 'tempo': 107.093, 'type': 'audio_features', 'id': '2ukW9zOr51AYeLSmCtTVqW', 'uri': 'spotify:track:2ukW9zOr51AYeLSmCtTVqW', 'track_href': 'https://api.spotify.com/v1/tracks/2ukW9zOr51AYeLSmCtTVqW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ukW9zOr51AYeLSmCtTVqW', 'duration_ms': 189667, 'time_signature': 4}"
Françoise Hardy,Il est tout pour moi,"{'danceability': 0.586, 'energy': 0.507, 'key': 2, 'loudness': -10.193, 'mode': 0, 'speechiness': 0.0343, 'acousticness': 0.777, 'instrumentalness': 0, 'liveness': 0.18, 'valence': 0.96, 'tempo': 73.007, 'type': 'audio_features', 'id': '3GGnrPooitgHfLzzaiJW9F', 'uri': 'spotify:track:3GGnrPooitgHfLzzaiJW9F', 'track_href': 'https://api.spotify.com/v1/tracks/3GGnrPooitgHfLzzaiJW9F', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GGnrPooitgHfLzzaiJW9F', 'duration_ms': 117147, 'time_signature': 4}"
Stromae,Alors On Danse - Radio Edit,"{'danceability': 0.799, 'energy': 0.634, 'key': 1, 'loudness': -7.899, 'mode': 0, 'speechiness': 0.0749, 'acousticness': 0.0968, 'instrumentalness': 0.00534, 'liveness': 0.0669, 'valence': 0.74, 'tempo': 119.967, 'type': 'audio_features', 'id': '5OUB9MiQhq972yuwotfQZa', 'uri': 'spotify:track:5OUB9MiQhq972yuwotfQZa', 'track_href': 'https://api.spotify.com/v1/tracks/5OUB9MiQhq972yuwotfQZa', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5OUB9MiQhq972yuwotfQZa', 'duration_ms': 208147, 'time_signature': 4}"
Scissor Sisters,I Don't Feel Like Dancin',"{'danceability': 0.707, 'energy': 0.923, 'key': 7, 'loudness': -3.409, 'mode': 1, 'speechiness': 0.0276, 'acousticness': 0.0195, 'instrumentalness': 0, 'liveness': 0.342, 'valence': 0.845, 'tempo': 108.023, 'type': 'audio_features', 'id': '1q9l6c8bAzqWcvO3DM6FsR', 'uri': 'spotify:track:1q9l6c8bAzqWcvO3DM6FsR', 'track_href': 'https://api.spotify.com/v1/tracks/1q9l6c8bAzqWcvO3DM6FsR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1q9l6c8bAzqWcvO3DM6FsR', 'duration_ms': 288360, 'time_signature': 4}"
The Orb,Fussball,"{'danceability': 0.901, 'energy': 0.47, 'key': 10, 'loudness': -10.137, 'mode': 0, 'speechiness': 0.0715, 'acousticness': 0.0012, 'instrumentalness': 0.119, 'liveness': 0.654, 'valence': 0.63, 'tempo': 104.0, 'type': 'audio_features', 'id': '2XlAjPUcsjkmYJgQbgvP5H', 'uri': 'spotify:track:2XlAjPUcsjkmYJgQbgvP5H', 'track_href': 'https://api.spotify.com/v1/tracks/2XlAjPUcsjkmYJgQbgvP5H', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2XlAjPUcsjkmYJgQbgvP5H', 'duration_ms': 270852, 'time_signature': 4}"
Wampire,The Hearse,"{'danceability': 0.456, 'energy': 0.889, 'key': 2, 'loudness': -7.031, 'mode': 1, 'speechiness': 0.0707, 'acousticness': 0.0905, 'instrumentalness': 0.834, 'liveness': 0.341, 'valence': 0.104, 'tempo': 89.995, 'type': 'audio_features', 'id': '1JGXx7CG3CxUYmuaNLyuQ3', 'uri': 'spotify:track:1JGXx7CG3CxUYmuaNLyuQ3', 'track_href': 'https://api.spotify.com/v1/tracks/1JGXx7CG3CxUYmuaNLyuQ3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1JGXx7CG3CxUYmuaNLyuQ3', 'duration_ms': 280107, 'time_signature': 4}"
Morphine,Buena,"{'danceability': 0.566, 'energy': 0.494, 'key': 10, 'loudness': -12.242, 'mode': 0, 'speechiness': 0.0619, 'acousticness': 0.106, 'instrumentalness': 0.179, 'liveness': 0.133, 'valence': 0.591, 'tempo': 96.641, 'type': 'audio_features', 'id': '2SSBJhvMsujY94GK5JAtKs', 'uri': 'spotify:track:2SSBJhvMsujY94GK5JAtKs', 'track_href': 'https://api.spotify.com/v1/tracks/2SSBJhvMsujY94GK5JAtKs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2SSBJhvMsujY94GK5JAtKs', 'duration_ms': 199667, 'time_signature': 4}"
Amp Live,D.H.E.A.,"{'danceability': 0.735, 'energy': 0.471, 'key': 10, 'loudness': -6.532, 'mode': 0, 'speechiness': 0.117, 'acousticness': 0.49, 'instrumentalness': 1.66e-05, 'liveness': 0.65, 'valence': 0.192, 'tempo': 92.127, 'type': 'audio_features', 'id': '7azrHbFNpxZNncn9BXpaW1', 'uri': 'spotify:track:7azrHbFNpxZNncn9BXpaW1', 'track_href': 'https://api.spotify.com/v1/tracks/7azrHbFNpxZNncn9BXpaW1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7azrHbFNpxZNncn9BXpaW1', 'duration_ms': 286757, 'time_signature': 4}"
